Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 20:16:57.826,97,99,99
2025-11-15 20:17:07.826,100,100,100
2025-11-15 20:17:17.826,100,100,100
2025-11-15 20:17:27.826,100,98,100
2025-11-15 20:17:37.826,99,100,100
2025-11-15 20:17:47.826,95,115,100
2025-11-15 20:17:57.827,98,111,100
2025-11-15 20:18:07.826,100,114,100
2025-11-15 20:18:17.826,93,107,100
2025-11-15 20:18:27.827,97,110,100
2025-11-15 20:18:37.826,98,114,100
2025-11-15 20:18:47.827,99,115,100
2025-11-15 20:18:57.826,98,117,100
2025-11-15 20:19:07.827,99,116,100
2025-11-15 20:19:17.826,97,112,100
2025-11-15 20:19:27.826,100,110,100
2025-11-15 20:19:37.826,93,108,100
2025-11-15 20:19:47.826,95,115,100
2025-11-15 20:19:57.826,98,115,100
2025-11-15 20:20:07.826,99,115,100
2025-11-15 20:20:17.826,97,113,100
2025-11-15 20:20:27.826,100,111,100
2025-11-15 20:20:37.827,98,115,100
2025-11-15 20:20:47.826,95,115,100
2025-11-15 20:20:57.826,98,115,100
2025-11-15 20:21:07.828,92,108,100
2025-11-15 20:21:17.826,99,116,100
2025-11-15 20:21:27.826,100,115,100
2025-11-15 20:21:37.826,97,115,100
2025-11-15 20:21:47.826,95,111,100
2025-11-15 20:21:57.826,99,106,100
2025-11-15 20:22:07.827,98,100,100
