Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,qx,qy,qz,qw,x,y,quaternion_yaw
2025-11-30 09:44:56.150,397,199,199,0.00,0.0000,0.0000,-0.0078,0.0012,0.9999,0.0025,0.0001,-0.0000,3.1366
2025-11-30 09:45:06.150,395,200,200,0.00,0.0052,0.0000,-0.0078,0.0012,0.9999,0.0025,0.0001,-0.0000,3.1366
2025-11-30 09:45:16.151,398,200,200,0.00,0.0000,0.0000,-0.0078,0.0010,0.9999,0.0022,0.0000,-0.0000,3.1372
2025-11-30 09:45:26.151,394,199,200,0.00,-6.6288,6.1340,-0.0018,0.0164,0.9989,-0.0439,-2.4823,-0.1836,-3.0537
2025-11-30 09:45:36.151,394,200,200,0.00,-6.1340,5.9612,-0.0052,0.0130,0.9998,-0.0100,-5.4853,-0.3326,-3.1215
2025-11-30 09:45:46.151,395,200,200,0.00,-5.7622,6.1104,-0.0032,0.0129,0.9998,0.0026,-8.4823,-0.3738,3.1365
2025-11-30 09:45:56.151,397,200,200,0.00,0.0236,0.0000,-0.0048,0.0088,0.9755,0.2194,-10.8813,-0.3801,2.6992
2025-11-30 09:46:06.150,396,199,200,0.00,-6.9638,6.0633,0.0152,0.0083,0.0101,0.9998,-10.5784,0.4394,0.0205
2025-11-30 09:46:16.151,398,199,200,0.00,-6.8355,6.9403,0.0188,0.0002,-0.1327,0.9909,-7.2657,-0.1943,-0.2662
2025-11-30 09:46:26.150,392,200,200,0.00,-6.9638,6.8984,0.0155,0.0003,-0.1519,0.9882,-3.9519,-1.1697,-0.3050
2025-11-30 09:46:36.151,395,200,200,0.00,0.0000,-4.6024,0.0084,0.0042,-0.5244,0.8513,-1.4230,-2.0136,-1.1041
2025-11-30 09:46:46.150,397,199,200,0.00,0.0000,6.9717,0.0091,-0.0008,0.6091,0.7929,-0.5806,-2.3047,1.3100
2025-11-30 09:46:56.150,396,200,200,0.00,-6.3826,4.4427,-0.0075,0.0026,-0.1007,-0.9948,-0.5272,-2.4431,0.2017
2025-11-30 09:47:06.151,396,200,200,0.00,0.0026,0.0000,-0.0133,-0.0004,0.2589,-0.9658,-0.1120,-2.4167,-0.5237
2025-11-30 09:47:16.150,396,200,200,0.00,-0.0052,0.0000,-0.0133,-0.0004,0.2589,-0.9658,-0.1120,-2.4167,-0.5237
2025-11-30 09:47:26.151,397,200,200,0.00,0.0026,0.0000,-0.0133,-0.0004,0.2589,-0.9658,-0.1120,-2.4167,-0.5237
2025-11-30 09:47:36.150,399,200,200,0.00,0.0000,0.0000,-0.0133,-0.0004,0.2589,-0.9658,-0.1120,-2.4167,-0.5237
2025-11-30 09:47:46.150,400,200,200,0.00,0.0000,0.0026,-0.0133,0.0000,0.0000,-0.9658,-0.1120,-2.4167,-0.0000
2025-11-30 09:47:56.151,394,200,200,0.00,0.0000,0.0026,-0.0133,-0.0004,0.2589,-0.9658,-0.1120,-2.4167,-0.5237
2025-11-30 09:48:06.150,394,200,200,0.00,0.0000,0.0000,-0.0133,-0.0004,0.2576,-0.9661,-0.1121,-2.4167,-0.5211
2025-11-30 09:48:16.150,395,200,200,0.00,0.0000,0.0000,-0.0133,-0.0004,0.2581,-0.9660,-0.1121,-2.4166,-0.5221
2025-11-30 09:48:26.150,399,200,200,0.00,0.0000,-0.0026,-0.0131,-0.0005,0.2570,-0.9663,-0.1122,-2.4166,-0.5198
2025-11-30 09:48:36.151,398,199,200,0.00,0.0026,0.0000,-0.0131,-0.0005,0.2570,-0.9663,-0.1123,-2.4165,-0.5198
2025-11-30 09:48:46.151,399,200,200,0.00,-0.0026,0.0000,-0.0124,-0.0010,0.2565,-0.9664,-0.1123,-2.4165,-0.5188
2025-11-30 09:48:56.150,399,200,200,0.00,0.0026,0.0000,-0.0126,-0.0007,0.2570,-0.9663,-0.1124,-2.4165,-0.5198
2025-11-30 09:49:06.150,398,200,200,0.00,0.0000,0.0000,-0.0122,-0.0011,0.2567,-0.9664,-0.1124,-2.4165,-0.5192
2025-11-30 09:49:16.150,396,200,200,0.00,-0.0052,0.0000,-0.0126,-0.0010,0.2564,-0.9664,-0.1125,-2.4164,-0.5186
2025-11-30 09:49:26.150,398,200,200,0.00,0.0000,-0.0026,-0.0126,-0.0010,0.2564,-0.9664,-0.1125,-2.4164,-0.5186
2025-11-30 09:49:36.151,398,200,200,0.00,-0.0026,0.0000,-0.0122,-0.0011,0.2562,-0.9664,-0.1125,-2.4164,-0.5182
2025-11-30 09:49:46.150,396,200,200,0.00,0.0000,-0.0026,-0.0120,-0.0012,0.2551,-0.9667,-0.1125,-2.4164,-0.5159
2025-11-30 09:49:56.150,393,200,200,0.00,0.0104,0.0000,-0.0121,-0.0015,0.2556,-0.9667,-0.1125,-2.4164,-0.5169
2025-11-30 09:50:06.150,395,200,200,0.00,0.0000,0.0000,-0.0121,-0.0015,0.2552,-0.9667,-0.1125,-2.4164,-0.5161
2025-11-30 09:50:16.150,398,200,200,0.00,0.0000,0.0000,-0.0121,-0.0015,0.2552,-0.9667,-0.1125,-2.4164,-0.5161
2025-11-30 09:50:26.151,389,199,200,0.00,-0.0026,0.0000,-0.0122,-0.0015,0.2544,-0.9669,-0.1126,-2.4164,-0.5145
