Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 20:45:11.684,199,199,199
2025-11-15 20:45:21.684,199,200,200
2025-11-15 20:45:31.683,200,200,200
2025-11-15 20:45:41.684,200,200,200
2025-11-15 20:45:51.683,200,200,200
2025-11-15 20:46:01.684,200,200,200
2025-11-15 20:46:11.684,200,200,200
2025-11-15 20:46:21.683,199,190,200
2025-11-15 20:46:31.683,200,181,200
2025-11-15 20:46:41.683,198,182,200
2025-11-15 20:46:51.683,200,181,200
2025-11-15 20:47:01.683,197,182,200
2025-11-15 20:47:11.683,131,181,200
