Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 18:12:40.030,199,199,199
2025-11-15 18:12:50.031,198,200,200
2025-11-15 18:13:00.029,199,200,200
2025-11-15 18:13:10.029,200,200,200
2025-11-15 18:13:20.031,197,200,200
2025-11-15 18:13:30.030,198,200,200
2025-11-15 18:13:40.030,200,200,200
2025-11-15 18:13:50.030,199,200,200
2025-11-15 18:14:00.030,199,200,200
2025-11-15 18:14:10.029,199,200,200
2025-11-15 18:14:20.030,198,199,200
2025-11-15 18:14:30.030,196,199,200
2025-11-15 18:14:40.031,193,199,200
2025-11-15 18:14:50.032,200,198,200
2025-11-15 18:15:00.031,199,199,200
2025-11-15 18:15:10.031,198,199,200
