Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-22 10:03:19.994,198,199,199
2025-11-22 10:03:29.997,199,199,200
2025-11-22 10:03:39.998,197,200,200
2025-11-22 10:03:49.994,198,200,200
2025-11-22 10:03:59.994,196,200,200
2025-11-22 10:04:09.994,197,200,200
2025-11-22 10:04:19.996,199,200,200
2025-11-22 10:04:29.994,185,186,200
2025-11-22 10:04:39.997,199,200,200
2025-11-22 10:04:49.994,199,200,200
2025-11-22 10:04:59.994,197,200,200
2025-11-22 10:05:09.994,198,200,200
2025-11-22 10:05:19.996,198,200,200
2025-11-22 10:05:29.994,194,200,200
2025-11-22 10:05:39.994,200,200,200
2025-11-22 10:05:49.998,199,200,200
2025-11-22 10:05:59.994,198,200,200
2025-11-22 10:06:09.994,199,200,200
2025-11-22 10:06:19.995,200,200,200
2025-11-22 10:06:29.996,197,199,200
2025-11-22 10:06:39.996,198,200,200
2025-11-22 10:06:49.994,199,200,200
2025-11-22 10:06:59.996,199,199,200
2025-11-22 10:07:09.995,200,200,200
2025-11-22 10:07:19.995,197,200,200
2025-11-22 10:07:29.995,199,200,200
2025-11-22 10:07:39.996,200,200,200
2025-11-22 10:07:49.994,198,200,200
2025-11-22 10:07:59.995,199,200,200
2025-11-22 10:08:09.995,199,200,200
2025-11-22 10:08:19.995,200,200,200
2025-11-22 10:08:29.994,198,198,200
2025-11-22 10:08:39.994,199,197,200
2025-11-22 10:08:49.995,199,200,200
