Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,qx,qy,qz,qw,x,y,quaternion_yaw
2025-11-29 19:58:36.642,196,199,199,0.00,0.0026,0.0000,0.0023,0.0090,-0.0264,0.9996,-0.0000,0.0000,-0.0528
2025-11-29 19:58:46.643,195,200,200,0.00,-0.0026,-0.0052,0.0021,0.0087,-0.0278,0.9995,-0.0000,0.0000,-0.0556
2025-11-29 19:58:56.641,197,200,200,0.00,0.0000,0.0000,0.0018,0.0084,-0.0294,0.9995,-0.0000,0.0000,-0.0588
2025-11-29 19:59:06.641,200,200,200,0.00,0.0000,0.0000,0.0018,0.0084,-0.0294,0.9995,0.0000,-0.0000,-0.0588
2025-11-29 19:59:16.641,198,200,200,0.00,-0.0052,0.0052,0.0020,0.0086,-0.0294,0.9995,-0.0001,0.0000,-0.0588
2025-11-29 19:59:26.641,200,198,200,0.00,-5.4978,4.5160,0.0072,0.0087,-0.0259,0.9995,1.6185,0.0776,-0.0517
2025-11-29 19:59:36.641,198,198,200,0.00,-6.0842,5.9245,0.0035,0.0093,0.0090,0.9998,4.6604,-0.0527,0.0181
2025-11-29 19:59:46.641,194,200,200,0.00,-5.9873,6.0580,0.0023,0.0085,0.0222,0.9996,7.6575,0.0111,0.0445
2025-11-29 19:59:56.641,197,200,200,0.00,-5.8329,4.5632,-0.0015,0.0085,0.0172,0.9998,10.6493,0.1355,0.0344
2025-11-29 20:00:06.643,197,200,200,0.00,-5.9507,6.1575,0.0090,0.0012,-0.5519,0.8338,12.0877,-1.8593,-1.1693
2025-11-29 20:00:16.641,197,200,200,0.00,-4.6207,5.0972,0.0093,0.0029,0.0495,0.9987,13.9487,-3.3483,0.0991
2025-11-29 20:00:26.643,199,200,200,0.00,-5.7570,6.1522,0.0073,0.0075,-0.0064,0.9999,16.8967,-3.1677,-0.0127
2025-11-29 20:00:36.642,194,200,200,0.00,-7.4194,6.7832,0.0085,0.0089,0.0921,0.9956,19.8928,-3.0947,0.1846
2025-11-29 20:00:46.641,200,200,200,0.00,-5.9716,5.9428,-0.0005,0.0073,0.0790,0.9968,22.9084,-2.5509,0.1582
2025-11-29 20:00:56.642,197,200,200,0.00,-4.0709,5.9140,-0.0012,0.0089,0.7308,0.6824,24.8994,-1.2854,1.6393
2025-11-29 20:01:06.642,198,200,200,0.00,-6.0973,5.7962,-0.0032,0.0088,0.7123,0.7017,24.5254,1.5321,1.5859
2025-11-29 20:01:16.641,198,200,200,0.00,-4.6129,5.1234,0.0053,-0.0073,-0.9957,0.0922,23.2273,3.1216,-2.9569
2025-11-29 20:01:26.641,196,200,200,0.00,-6.0868,5.7910,0.0096,-0.0035,-0.6605,0.7506,22.7561,0.8729,-1.4432
2025-11-29 20:01:36.644,196,200,200,0.00,-6.1784,5.9036,0.0083,-0.0022,-0.7165,0.6975,22.8144,-2.1200,-1.5976
2025-11-29 20:01:46.642,200,200,200,0.00,-6.0868,5.8591,-0.0050,0.0078,0.9980,0.0614,21.1401,-3.2887,3.0188
2025-11-29 20:01:56.641,196,200,200,0.00,-7.0502,6.6523,0.0041,-0.0001,-0.9998,0.0183,17.9082,-3.3832,-3.1050
2025-11-29 20:02:06.641,198,200,200,0.00,-6.1313,6.0999,0.0052,-0.0036,-1.0000,0.0042,14.8836,-3.3975,-3.1332
2025-11-29 20:02:16.641,199,200,200,0.00,-6.0790,3.9060,-0.0053,0.0068,0.8953,0.4453,12.1853,-3.0414,2.2186
2025-11-29 20:02:26.641,199,200,200,0.00,-6.1444,5.9193,-0.0018,0.0100,0.8817,0.4716,10.9971,-0.5489,2.1594
2025-11-29 20:02:36.642,199,200,200,0.00,-6.8408,6.4507,0.0055,-0.0071,-0.9958,0.0905,8.5656,-0.3016,-2.9603
2025-11-29 20:02:46.641,198,200,200,0.00,-5.8250,5.9507,0.0047,-0.0112,-0.9998,0.0137,5.9594,-0.5418,-3.1141
2025-11-29 20:02:56.641,196,200,200,0.00,-5.8329,6.2543,0.0028,-0.0120,-0.9998,0.0108,3.3727,-0.6415,-3.1199
2025-11-29 20:03:06.642,199,200,200,0.00,-5.0475,6.1340,-0.0025,0.0119,0.9998,0.0078,0.7846,-0.7608,3.1261
2025-11-29 20:03:16.642,200,200,200,0.00,0.0000,-0.0026,0.0038,-0.0097,-0.9980,0.0611,-0.3045,-0.8197,-3.0192
2025-11-29 20:03:26.641,200,199,200,0.00,0.8849,-0.0052,0.0026,-0.0031,-0.0370,0.9993,-0.1373,-0.2485,-0.0740
