Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 18:24:59.131,99,99,99
2025-11-15 18:25:09.131,100,100,100
2025-11-15 18:25:19.131,100,102,100
2025-11-15 18:25:29.132,99,147,100
2025-11-15 18:25:39.131,100,147,100
2025-11-15 18:25:49.131,100,151,100
2025-11-15 18:25:59.131,99,153,100
2025-11-15 18:26:09.132,97,146,100
2025-11-15 18:26:19.131,99,145,100
2025-11-15 18:26:29.133,100,147,100
2025-11-15 18:26:39.131,100,145,100
2025-11-15 18:26:49.131,100,152,100
2025-11-15 18:26:59.131,99,151,100
2025-11-15 18:27:09.133,99,145,100
2025-11-15 18:27:19.131,96,146,100
2025-11-15 18:27:29.132,98,147,100
2025-11-15 18:27:39.131,99,146,100
2025-11-15 18:27:49.132,100,155,100
2025-11-15 18:27:59.131,100,148,100
2025-11-15 18:28:09.131,99,145,100
2025-11-15 18:28:19.132,100,146,100
2025-11-15 18:28:29.131,99,146,100
2025-11-15 18:28:39.131,99,149,100
2025-11-15 18:28:49.131,100,154,100
2025-11-15 18:28:59.131,100,146,100
2025-11-15 18:29:09.131,100,148,100
2025-11-15 18:29:19.131,100,145,100
2025-11-15 18:29:29.131,100,145,100
2025-11-15 18:29:39.131,100,150,100
2025-11-15 18:29:49.131,100,152,100
2025-11-15 18:29:59.131,100,147,100
2025-11-15 18:30:09.131,100,146,100
