Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 18:16:21.707,198,199,199
2025-11-15 18:16:31.707,200,200,200
2025-11-15 18:16:41.706,200,200,200
2025-11-15 18:16:51.706,200,200,200
2025-11-15 18:17:01.706,199,192,200
2025-11-15 18:17:11.706,199,182,200
2025-11-15 18:17:21.707,196,181,200
2025-11-15 18:17:31.707,195,182,200
2025-11-15 18:17:41.706,197,180,200
2025-11-15 18:17:51.706,199,182,200
2025-11-15 18:18:01.706,199,181,200
2025-11-15 18:18:11.708,200,182,200
2025-11-15 18:18:21.707,200,180,200
2025-11-15 18:18:31.707,199,182,200
2025-11-15 18:18:41.707,196,181,200
2025-11-15 18:18:51.706,199,181,200
2025-11-15 18:19:01.707,197,180,200
2025-11-15 18:19:11.707,198,181,200
2025-11-15 18:19:21.707,198,180,200
2025-11-15 18:19:31.707,196,182,200
2025-11-15 18:19:41.707,195,180,200
2025-11-15 18:19:51.708,199,182,200
2025-11-15 18:20:01.707,197,180,200
2025-11-15 18:20:11.707,196,181,200
2025-11-15 18:20:21.708,197,181,200
2025-11-15 18:20:31.708,200,182,200
2025-11-15 18:20:41.706,199,180,200
2025-11-15 18:20:51.707,199,193,200
2025-11-15 18:21:01.707,199,198,200
2025-11-15 18:21:11.706,200,200,200
