Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-20 20:35:24.345,197,199,199
2025-11-20 20:35:34.345,200,200,200
2025-11-20 20:35:44.345,198,195,200
2025-11-20 20:35:54.345,199,165,200
2025-11-20 20:36:04.345,198,166,200
2025-11-20 20:36:14.345,197,165,200
2025-11-20 20:36:24.346,199,166,200
2025-11-20 20:36:34.345,196,165,200
2025-11-20 20:36:44.345,199,166,200
2025-11-20 20:36:54.346,199,165,200
2025-11-20 20:37:04.345,198,165,200
2025-11-20 20:37:14.345,199,170,200
2025-11-20 20:37:24.345,187,167,200
2025-11-20 20:37:34.345,195,200,200
2025-11-20 20:37:44.345,198,199,200
2025-11-20 20:37:54.345,199,179,200
2025-11-20 20:38:04.347,199,172,200
2025-11-20 20:38:14.345,199,191,200
2025-11-20 20:38:24.345,200,200,200
2025-11-20 20:38:34.345,197,200,200
2025-11-20 20:38:44.345,197,200,200
2025-11-20 20:38:54.345,155,200,200
2025-11-20 20:39:04.345,177,199,200
2025-11-20 20:39:14.345,199,198,200
2025-11-20 20:39:24.345,198,200,200
2025-11-20 20:39:34.345,198,200,200
2025-11-20 20:39:44.345,197,200,200
2025-11-20 20:39:54.346,198,200,200
2025-11-20 20:40:04.345,199,200,200
2025-11-20 20:40:14.345,199,200,200
2025-11-20 20:40:24.345,197,200,200
2025-11-20 20:40:34.346,199,200,200
2025-11-20 20:40:44.345,196,200,200
2025-11-20 20:40:54.345,199,200,200
2025-11-20 20:41:04.346,200,200,200
2025-11-20 20:41:14.345,199,200,200
