Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 21:01:51.116,199,199,199
2025-11-15 21:02:01.114,199,200,200
2025-11-15 21:02:11.114,199,200,200
2025-11-15 21:02:21.114,199,200,200
2025-11-15 21:02:31.114,199,200,200
2025-11-15 21:02:41.115,198,187,200
2025-11-15 21:02:51.114,197,181,200
2025-11-15 21:03:01.114,198,182,200
2025-11-15 21:03:11.114,198,181,200
2025-11-15 21:03:21.115,198,182,200
2025-11-15 21:03:31.114,197,181,200
2025-11-15 21:03:41.115,199,182,200
2025-11-15 21:03:51.115,187,169,200
2025-11-15 21:04:01.114,197,181,200
2025-11-15 21:04:11.114,196,181,200
2025-11-15 21:04:21.114,199,182,200
2025-11-15 21:04:31.114,195,180,200
2025-11-15 21:04:41.114,200,182,200
2025-11-15 21:04:51.115,196,181,200
2025-11-15 21:05:01.114,199,182,200
2025-11-15 21:05:11.114,199,180,200
2025-11-15 21:05:21.115,200,182,200
2025-11-15 21:05:31.114,198,181,200
2025-11-15 21:05:41.114,196,182,200
2025-11-15 21:05:51.114,198,181,200
2025-11-15 21:06:01.114,198,182,200
2025-11-15 21:06:11.116,195,181,200
2025-11-15 21:06:21.114,197,182,200
2025-11-15 21:06:31.115,187,169,200
2025-11-15 21:06:41.114,198,194,200
2025-11-15 21:06:51.116,198,200,200
2025-11-15 21:07:01.115,198,199,200
2025-11-15 21:07:11.114,199,200,200
