Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec (mode 1, guidance false)
2025-11-15 19:01:20.826,198,199,199
2025-11-15 19:01:30.825,198,200,200
2025-11-15 19:01:40.825,200,200,200
2025-11-15 19:01:50.826,200,200,200
2025-11-15 19:02:00.828,198,200,200
2025-11-15 19:02:10.826,199,200,200
2025-11-15 19:02:20.825,198,200,200
2025-11-15 19:02:30.825,196,200,200
2025-11-15 19:02:40.825,199,200,200
2025-11-15 19:02:50.827,200,200,200
2025-11-15 19:03:00.825,197,200,200
2025-11-15 19:03:10.828,200,200,200
2025-11-15 19:03:20.825,197,200,200
2025-11-15 19:03:30.826,198,200,200
2025-11-15 19:03:40.825,200,200,200
2025-11-15 19:03:50.826,200,200,200
2025-11-15 19:04:00.825,131,200,200
2025-11-15 19:04:10.827,198,200,200
2025-11-15 19:04:20.825,200,200,200
2025-11-15 19:04:30.826,199,200,200
2025-11-15 19:04:40.827,199,200,200
2025-11-15 19:04:50.827,199,200,200
2025-11-15 19:05:00.825,200,200,200
2025-11-15 19:05:10.825,200,200,200
2025-11-15 19:05:20.825,199,200,200
2025-11-15 19:05:30.828,200,200,200
2025-11-15 19:05:40.825,134,200,200
2025-11-15 19:05:50.827,199,200,200
2025-11-15 19:06:00.827,199,200,200
2025-11-15 19:06:10.825,198,200,200
2025-11-15 19:06:20.825,199,199,200
2025-11-15 19:06:30.825,199,200,200
2025-11-15 19:06:40.825,200,198,200
