Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-22 08:18:08.828,199,198,199
2025-11-22 08:18:18.828,200,198,200
2025-11-22 08:18:28.829,199,199,200
2025-11-22 08:18:38.829,199,200,200
2025-11-22 08:18:48.829,196,200,200
2025-11-22 08:18:58.828,197,200,200
2025-11-22 08:19:08.828,199,200,200
2025-11-22 08:19:18.828,198,200,200
2025-11-22 08:19:28.828,200,199,200
2025-11-22 08:19:38.828,199,200,200
2025-11-22 08:19:48.828,199,199,200
2025-11-22 08:19:58.828,198,199,200
2025-11-22 08:20:08.828,199,200,200
2025-11-22 08:20:18.828,198,198,200
2025-11-22 08:20:28.829,197,199,200
2025-11-22 08:20:38.828,200,200,200
2025-11-22 08:20:48.828,200,200,200
2025-11-22 08:20:58.829,199,200,200
2025-11-22 08:21:08.828,200,200,200
2025-11-22 08:21:18.828,198,200,200
2025-11-22 08:21:28.828,200,199,200
2025-11-22 08:21:38.830,199,199,200
2025-11-22 08:21:48.828,198,200,200
2025-11-22 08:21:58.828,198,200,200
2025-11-22 08:22:08.828,198,200,200
2025-11-22 08:22:18.828,200,200,200
2025-11-22 08:22:28.828,200,200,200
2025-11-22 08:22:38.828,200,200,200
2025-11-22 08:22:48.828,198,200,200
2025-11-22 08:22:58.828,199,200,200
2025-11-22 08:23:08.828,200,200,200
2025-11-22 08:23:18.828,197,200,200
2025-11-22 08:23:28.828,198,200,200
2025-11-22 08:23:38.828,200,200,200
2025-11-22 08:23:48.828,199,199,200
2025-11-22 08:23:58.829,199,200,200
2025-11-22 08:24:08.828,200,200,200
2025-11-22 08:24:18.828,200,200,200
2025-11-22 08:24:28.829,198,200,200
2025-11-22 08:24:38.828,200,199,200
2025-11-22 08:24:48.828,197,199,200
2025-11-22 08:24:58.828,199,199,200
2025-11-22 08:25:08.828,195,198,200
2025-11-22 08:25:18.828,198,197,200
2025-11-22 08:25:28.829,200,200,200
2025-11-22 08:25:38.828,198,200,200
2025-11-22 08:25:48.829,199,200,200
2025-11-22 08:25:58.828,198,197,200
2025-11-22 08:26:08.832,197,199,200
2025-11-22 08:26:18.828,198,199,200
2025-11-22 08:26:28.828,200,198,200
2025-11-22 08:26:38.828,200,199,200
2025-11-22 08:26:48.828,197,200,200
2025-11-22 08:26:58.828,198,200,200
2025-11-22 08:27:08.828,200,200,200
2025-11-22 08:27:18.828,198,200,200
2025-11-22 08:27:28.828,199,200,200
2025-11-22 08:27:38.828,197,200,200
2025-11-22 08:27:48.828,198,200,200
2025-11-22 08:27:58.828,197,197,200
2025-11-22 08:28:08.828,199,200,200
2025-11-22 08:28:18.828,195,200,200
2025-11-22 08:28:28.828,200,198,200
2025-11-22 08:28:38.828,198,199,200
