Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-22 10:55:25.365,199,199,199
2025-11-22 10:55:35.365,200,200,200
2025-11-22 10:55:45.364,200,200,200
2025-11-22 10:55:55.365,199,199,200
2025-11-22 10:56:05.365,198,200,200
2025-11-22 10:56:15.366,197,200,200
2025-11-22 10:56:25.365,196,200,200
2025-11-22 10:56:35.365,196,199,200
2025-11-22 10:56:45.365,200,200,200
2025-11-22 10:56:55.366,200,200,200
2025-11-22 10:57:05.365,200,200,200
2025-11-22 10:57:15.364,200,200,200
2025-11-22 10:57:25.365,196,200,200
2025-11-22 10:57:35.365,199,200,200
2025-11-22 10:57:45.365,194,199,200
2025-11-22 10:57:55.366,184,200,200
2025-11-22 10:58:05.365,198,199,200
2025-11-22 10:58:15.365,200,200,200
