Timestamp,Yaw_Angle(degrees)
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:13,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:14,1.31
2025-10-25 09:59:15,1.31
2025-10-25 09:59:15,1.37
2025-10-25 09:59:15,1.37
2025-10-25 09:59:15,1.37
2025-10-25 09:59:15,1.37
2025-10-25 09:59:15,1.43
2025-10-25 09:59:15,1.5
2025-10-25 09:59:15,1.56
2025-10-25 09:59:15,1.68
2025-10-25 09:59:15,1.81
2025-10-25 09:59:15,1.87
2025-10-25 09:59:15,2
2025-10-25 09:59:15,2.18
2025-10-25 09:59:15,2.43
2025-10-25 09:59:15,2.68
2025-10-25 09:59:15,2.93
2025-10-25 09:59:15,3.25
2025-10-25 09:59:15,3.43
2025-10-25 09:59:15,3.81
2025-10-25 09:59:15,4.18
2025-10-25 09:59:15,5.06
2025-10-25 09:59:15,5.5
2025-10-25 09:59:15,6.06
2025-10-25 09:59:15,6.62
2025-10-25 09:59:15,7.06
2025-10-25 09:59:15,7.68
2025-10-25 09:59:15,8.62
2025-10-25 09:59:15,9.37
2025-10-25 09:59:15,10.18
2025-10-25 09:59:15,10.75
2025-10-25 09:59:15,11.87
2025-10-25 09:59:15,12.81
2025-10-25 09:59:15,13.5
2025-10-25 09:59:16,14.43
2025-10-25 09:59:16,15.5
2025-10-25 09:59:16,16.5
2025-10-25 09:59:16,17.56
2025-10-25 09:59:16,18.25
2025-10-25 09:59:16,19.31
2025-10-25 09:59:16,20.37
2025-10-25 09:59:16,21.81
2025-10-25 09:59:16,22.87
2025-10-25 09:59:16,23.93
2025-10-25 09:59:16,24.68
2025-10-25 09:59:16,25.68
2025-10-25 09:59:16,26.75
2025-10-25 09:59:16,27.75
2025-10-25 09:59:16,28.75
2025-10-25 09:59:16,29.81
2025-10-25 09:59:16,30.81
2025-10-25 09:59:16,31.75
2025-10-25 09:59:16,32.43
2025-10-25 09:59:16,25.69
2025-10-25 09:59:16,26.69
2025-10-25 09:59:16,27.94
2025-10-25 09:59:16,36.56
2025-10-25 09:59:16,37.18
2025-10-25 09:59:16,38.12
2025-10-25 09:59:16,39.06
2025-10-25 09:59:16,39.93
2025-10-25 09:59:16,40.81
2025-10-25 09:59:16,41.68
2025-10-25 09:59:16,42.31
2025-10-25 09:59:16,43.12
2025-10-25 09:59:16,44
2025-10-25 09:59:16,44.81
2025-10-25 09:59:16,45.56
2025-10-25 09:59:16,46.31
2025-10-25 09:59:17,47.31
2025-10-25 09:59:17,48.06
2025-10-25 09:59:17,48.5
2025-10-25 09:59:17,49.18
2025-10-25 09:59:17,49.87
2025-10-25 09:59:17,50.5
2025-10-25 09:59:17,51.12
2025-10-25 09:59:17,51.75
2025-10-25 09:59:17,52.12
2025-10-25 09:59:17,52.68
2025-10-25 09:59:17,53.25
2025-10-25 09:59:17,53.75
2025-10-25 09:59:17,54.31
2025-10-25 09:59:17,54.81
2025-10-25 09:59:17,55.43
2025-10-25 09:59:17,55.75
2025-10-25 09:59:17,56.18
2025-10-25 09:59:17,56.62
2025-10-25 09:59:17,57.06
2025-10-25 09:59:17,57.5
2025-10-25 09:59:17,57.93
2025-10-25 09:59:17,58.25
2025-10-25 09:59:17,58.68
2025-10-25 09:59:17,59.18
2025-10-25 09:59:17,59.68
2025-10-25 09:59:17,60.18
