Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 19:20:41.243,199,199,199
2025-11-15 19:20:51.242,200,200,200
2025-11-15 19:21:01.241,200,200,200
2025-11-15 19:21:11.242,200,200,200
2025-11-15 19:21:21.241,200,200,200
2025-11-15 19:21:31.241,199,200,200
2025-11-15 19:21:41.241,199,200,200
2025-11-15 19:21:51.241,200,200,200
2025-11-15 19:22:01.241,200,200,200
2025-11-15 19:22:11.241,200,196,200
2025-11-15 19:22:21.242,198,182,200
2025-11-15 19:22:31.241,199,199,200
2025-11-15 19:22:41.243,199,200,200
2025-11-15 19:22:51.241,200,200,200
2025-11-15 19:23:01.242,134,199,200
2025-11-15 19:23:11.241,200,199,200
2025-11-15 19:23:21.241,200,200,200
