Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,qx,qy,qz,qw,x,y,quaternion_yaw
2025-11-27 18:30:36.310,198,199,199,0.00,0.0026,0.0000,-0.0070,0.0049,0.9861,0.1654,0.0000,-0.0000,2.8093
2025-11-27 18:30:46.310,195,200,200,0.00,0.0079,0.0000,-0.0070,0.0049,0.9861,0.1654,-0.0000,0.0000,2.8093
2025-11-27 18:30:56.309,199,200,200,0.00,0.0000,0.0000,-0.0070,0.0049,0.9861,0.1654,-0.0000,0.0000,2.8093
2025-11-27 18:31:06.312,195,200,200,0.00,-1.7017,1.4765,-0.0070,0.0049,0.9865,0.1632,-0.0136,0.0047,2.8138
2025-11-27 18:31:16.309,193,198,200,0.00,-6.0763,5.8093,-0.0040,0.0062,0.9903,0.1384,-3.1204,0.9018,2.8639
2025-11-27 18:31:26.310,188,198,200,0.00,-6.0999,6.1365,-0.0068,0.0048,0.9884,0.1511,-5.9787,1.8040,2.8383
2025-11-27 18:31:36.310,189,197,200,0.00,-5.9271,5.9716,-0.0053,0.0050,0.9902,0.1387,-8.8025,2.6643,2.8633
2025-11-27 18:31:46.309,190,189,200,0.00,-6.1287,4.0631,-0.0028,0.0075,0.9884,0.1512,-11.7046,3.5471,2.8381
2025-11-27 18:31:56.310,199,200,200,0.00,-5.5553,6.2256,0.0050,0.0060,0.5964,0.8026,-11.5715,5.8736,1.2781
2025-11-27 18:32:06.310,195,200,200,0.00,-6.1942,5.8198,-0.0023,0.0119,0.9981,0.0599,-13.1382,7.2187,3.0218
2025-11-27 18:32:16.310,199,200,200,0.00,-5.4480,5.3668,-0.0060,0.0080,0.9986,0.0513,-15.8465,7.3608,3.0390
2025-11-27 18:32:26.309,198,200,200,0.00,-5.4480,5.3668,0.0007,0.0076,0.6701,0.7422,-17.4773,9.0901,1.4688
2025-11-27 18:32:36.310,200,175,200,0.00,6.6706,-3.1547,0.0051,0.0052,0.8569,0.5153,-17.0645,9.6491,2.0587
2025-11-27 18:32:46.309,200,200,200,0.00,6.9403,-7.0058,-0.0022,0.0066,0.9833,0.1816,-14.2496,8.2686,2.7764
2025-11-27 18:32:56.310,188,200,200,0.00,6.7832,-6.0004,-0.0061,0.0070,0.9850,0.1719,-11.0724,6.9905,2.7961
2025-11-27 18:33:06.309,197,199,200,0.00,6.8041,-7.0188,-0.0084,0.0077,0.9819,0.1884,-7.9248,5.7885,2.7626
2025-11-27 18:33:16.310,199,200,200,0.00,-0.0026,0.0026,-0.0062,0.0048,0.9832,0.1820,-5.7087,4.9306,2.7756
