Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 21:08:40.602,133,199,199
2025-11-15 21:08:50.603,199,200,200
2025-11-15 21:09:00.601,200,200,200
2025-11-15 21:09:10.602,198,200,200
2025-11-15 21:09:20.601,199,200,200
2025-11-15 21:09:30.603,200,200,200
2025-11-15 21:09:40.600,196,200,200
2025-11-15 21:09:50.600,199,200,200
2025-11-15 21:10:00.599,146,200,200
2025-11-15 21:10:10.602,186,200,200
2025-11-15 21:10:20.599,200,200,200
2025-11-15 21:10:30.603,198,200,200
2025-11-15 21:10:40.600,134,200,200
2025-11-15 21:10:50.599,200,200,200
2025-11-15 21:11:00.599,200,200,200
2025-11-15 21:11:10.599,200,200,200
2025-11-15 21:11:20.599,199,200,200
2025-11-15 21:11:30.599,199,200,200
2025-11-15 21:11:40.600,197,182,200
2025-11-15 21:11:50.599,198,181,200
2025-11-15 21:12:00.600,197,182,200
2025-11-15 21:12:10.600,199,181,200
2025-11-15 21:12:20.601,198,182,200
2025-11-15 21:12:30.600,198,181,200
2025-11-15 21:12:40.599,198,198,200
2025-11-15 21:12:50.600,199,200,200
2025-11-15 21:13:00.600,199,200,200
2025-11-15 21:13:10.601,133,186,200
2025-11-15 21:13:20.600,197,192,200
