Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,qx,qy,qz,qw,x,y,quaternion_yaw
2026-01-27 19:08:42.014,0,397,399,0.00,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-27 19:08:52.014,0,399,400,0.00,0.0000,-0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-27 19:09:02.015,0,400,400,0.00,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-27 19:09:12.014,0,400,400,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-27 19:09:22.014,0,399,400,0.00,-0.0079,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-27 19:09:32.014,0,251,400,0.00,-6.3722,6.3984,0.0000,0.0000,0.0000,0.0000,2.4716,0.1092,0.0000
2026-01-27 19:09:42.015,0,225,400,0.00,-5.7570,6.0057,0.0000,0.0000,0.0000,0.0000,5.4713,0.2866,0.0000
2026-01-27 19:09:52.016,0,226,400,0.00,-5.9088,5.5946,0.0000,0.0000,0.0000,0.0000,8.4751,0.4598,0.0000
2026-01-27 19:10:02.015,0,227,400,0.00,-7.1183,4.7071,0.0000,0.0000,0.0000,0.0000,11.3161,0.1635,0.0000
2026-01-27 19:10:12.015,0,226,400,0.00,-4.0552,7.8985,0.0000,0.0000,0.0000,0.0000,12.7048,-2.5037,0.0000
2026-01-27 19:10:22.014,0,226,400,0.00,-5.7674,5.7622,0.0000,0.0000,0.0000,0.0000,15.6044,-2.5498,0.0000
2026-01-27 19:10:32.014,0,227,400,0.00,-5.9480,6.0030,0.0000,0.0000,0.0000,0.0000,18.5984,-2.4967,0.0000
2026-01-27 19:10:42.014,0,227,400,0.00,-5.9821,5.8905,0.0000,0.0000,0.0000,0.0000,21.7625,-1.9301,0.0000
2026-01-27 19:10:52.014,0,225,400,0.00,-2.4295,9.2074,0.0000,0.0000,0.0000,0.0000,24.6575,-1.2160,0.0000
2026-01-27 19:11:02.014,0,225,400,0.00,-5.9952,5.7517,0.0000,0.0000,0.0000,0.0000,24.5731,1.6748,0.0000
2026-01-27 19:11:12.014,0,227,400,0.00,-4.6705,6.9900,0.0000,0.0000,0.0000,0.0000,23.7666,4.1144,0.0000
2026-01-27 19:11:22.014,0,225,400,0.00,-6.5083,5.3695,0.0000,0.0000,0.0000,0.0000,22.7543,1.9546,0.0000
2026-01-27 19:11:32.014,0,223,400,0.00,-6.1025,5.9140,0.0000,0.0000,0.0000,0.0000,22.8196,-1.0363,0.0000
2026-01-27 19:11:42.015,0,225,400,0.00,-5.4375,6.6078,0.0000,0.0000,0.0000,0.0000,20.8552,-2.5047,0.0000
2026-01-27 19:11:52.014,0,226,400,0.00,-6.1601,6.0633,0.0000,0.0000,0.0000,0.0000,17.5755,-3.1217,0.0000
2026-01-27 19:12:02.015,0,227,400,0.00,-3.4479,3.1834,0.0000,0.0000,0.0000,0.0000,14.9606,-3.6145,0.0000
2026-01-27 19:12:12.015,0,226,400,0.00,-6.6445,4.9820,0.0000,0.0000,0.0000,0.0000,12.2273,-3.4336,0.0000
2026-01-27 19:12:22.015,0,225,400,0.00,-4.3223,7.6655,0.0000,0.0000,0.0000,0.0000,10.4811,-0.9952,0.0000
2026-01-27 19:12:32.015,0,226,400,0.00,-5.9637,6.1497,0.0000,0.0000,0.0000,0.0000,7.4577,-1.4371,0.0000
2026-01-27 19:12:42.014,0,244,400,0.00,-1.4294,1.3220,0.0000,0.0000,0.0000,0.0000,4.7215,-1.6822,0.0000
2026-01-27 19:12:52.014,0,399,400,0.00,-7.0319,6.8696,0.0000,0.0000,0.0000,0.0000,1.7395,-2.7228,0.0000
2026-01-27 19:13:02.014,0,393,400,0.00,-0.2146,0.1492,0.0000,0.0000,0.0000,0.0000,-0.1981,-3.3965,0.0000
2026-01-27 19:13:12.014,0,394,400,0.00,-0.0733,0.2487,0.0000,0.0000,0.0000,0.0000,-0.0935,-3.3998,0.0000
