Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-22 10:46:16.269,199,199,199
2025-11-22 10:46:26.268,200,200,200
2025-11-22 10:46:36.274,199,200,200
2025-11-22 10:46:46.268,167,200,200
2025-11-22 10:46:56.268,162,199,200
2025-11-22 10:47:06.268,197,199,200
2025-11-22 10:47:16.268,194,199,200
2025-11-22 10:47:26.269,197,200,200
2025-11-22 10:47:36.268,197,200,200
2025-11-22 10:47:46.268,198,200,200
2025-11-22 10:47:56.268,197,200,200
2025-11-22 10:48:06.268,198,200,200
2025-11-22 10:48:16.268,199,200,200
2025-11-22 10:48:26.268,199,200,200
2025-11-22 10:48:36.268,199,199,200
2025-11-22 10:48:46.269,199,200,200
2025-11-22 10:48:56.269,200,200,200
2025-11-22 10:49:06.268,198,200,200
2025-11-22 10:49:16.269,196,200,200
2025-11-22 10:49:26.268,199,200,200
2025-11-22 10:49:36.268,199,200,200
2025-11-22 10:49:46.268,196,199,200
2025-11-22 10:49:56.268,198,200,200
2025-11-22 10:50:06.268,199,199,200
2025-11-22 10:50:16.268,200,199,200
2025-11-22 10:50:26.268,199,199,200
2025-11-22 10:50:36.268,196,200,200
2025-11-22 10:50:46.270,197,200,200
2025-11-22 10:50:56.268,199,200,200
